name;federalState;AGS;border
Konstanz;BadenWuertemberg;:08335043;Schweiz
Stuttgart;BadenWuertemberg;08111000;
Mannheim;BadenWuertemberg;08222000;
Freiburg;BadenWuertemberg;08311000;Frankreich
Karlsruhe;BadenWuertemberg;08212000
Hof;Bayern;09464000;Tschechien
Muenchen;Bayern;09162000;
Passau;Bayern;09262000;Oesterreich
Garmisch-Partenkirchen;Bayern;09180117;Oesterreich
Nuernberg;Bayern;09564000;
Augsburg;Bayern;09761000;
Berlin;Berlin;11000000;
Potsdam;Brandenburg;12054000;
Brandenburg an der Havel;Brandenburg;12051000;
Cottbus;Brandenburg;12052000;
Frankfurt (Oder);Brandenburg;12053000;Polen
Bremen;Bremen;04011000;
Bremerhaven;Bremen;04012000;
Hamburg;Hamburg;02000000;
Wiesbaden;Hessen;06414000;
Frankfurt am Main;Hessen;06412000;
Kassel;Hessen;06611000;
Schwerin;MecklenburgVorpommern;13004000;
Rostock;MecklenburgVorpommern;13003000;
Neubrandenburg;MecklenburgVorpommern;13071107;
Hannover;Niedersachsen;03241001;
Braunschweig;Niedersachsen;03101000;
Oldenburg;Niedersachsen;03403000
Nordhorn;Niedersachsen;03456015;Niederlande
Essen;NordrheinWestphalen;05113000;
Duisburg;NordrheinWestphalen;05112000;
Bochum;NordrheinWestphalen;05911000;
Wuppertal;NordrheinWestphalen;05124000;
Bielefeld;NordrheinWestphalen;05711000;
Bonn;NordrheinWestphalen;05314000;
Muenster;NordrheinWestphalen;05515000;
Moenchengladbach;NordrheinWestphalen;05116000;
Gelsenkirchen;NordrheinWestphalen;05513000;
Krefeld;NordrheinWestphalen;05114000;
Dortmund;NordrheinWestphalen;05913000;
Aachen;NordrheinWestphalen;05334002;Belgien/Niederlande
Koeln;NordrheinWestphalen;05315000;
Duesseldorf;NordrheinWestphalen;05111000;
Rheda-Wiedenbrueck;NordrheinWestphalen;05754028;
Heinsberg;NordrheinWestphalen;05370016;
Magdeburg;SachsenAnhalt;15003000;
Halle;SachsenAnhalt;15002000;
Dessau;SachsenAnhalt;15001000;
Kiel;SchleswigHolstein;01002000;
Luebeck;SchleswigHolstein;01003000;
Flensburg;SchleswigHolstein;01001000;Daenemark
Erfurt;Thueringen;16051000;
Jena;Thueringen;16053000;
Gera;Thueringen;16052000;
Saarbruecken;Saarland;10041100;Frankreich
Leipzig;Sachsen;14713000;
Goerlitz;Sachsen;14626110;Polen
Dresden;Sachsen;14612000;
Chemnitz;Sachsen;14511000;
Mainz;RheinlandPfalz;07315000;
Ludwigshafen am Rhein;RheinlandPfalz;07314000;
Koblenz;RheinlandPfalz;07111000;
Trier;RheinlandPfalz;07211000;Luxemburg
